date,temperature,humidite
2025-10-05 03:40:00,13.5,75
2025-10-05 03:50:00,13.6,76
2025-10-05 04:00:00,13.6,78
2025-10-05 04:10:00,13.3,77
2025-10-05 04:20:00,13.6,78
2025-10-05 04:30:00,13.4,78
2025-10-05 04:40:00,13.5,77
2025-10-05 04:50:00,13.6,77
2025-10-05 05:00:00,13.6,76
2025-10-05 05:10:00,13.6,76
2025-10-05 05:20:00,13.6,72
2025-10-05 05:30:00,13.6,74
2025-10-05 05:40:00,13.6,73
2025-10-05 05:50:00,13.6,75
2025-10-05 06:00:00,13.6,74
2025-10-05 06:10:00,13.7,75
2025-10-05 06:20:00,13.9,76
2025-10-05 06:30:00,13.7,72
2025-10-05 06:40:00,13.7,76
2025-10-05 06:50:00,13.8,77
2025-10-05 07:00:00,13.8,74
2025-10-05 07:10:00,13.9,76
2025-10-05 07:20:00,13.8,76
2025-10-05 07:30:00,13.9,76
2025-10-05 07:40:00,14,74
2025-10-05 07:50:00,14.1,75
2025-10-05 08:00:00,14.1,74
2025-10-05 08:10:00,14.1,74
2025-10-05 08:20:00,14.1,74
2025-10-05 08:30:00,14.1,71
2025-10-05 08:40:00,14.6,72
2025-10-05 08:50:00,14.7,73
2025-10-05 09:00:00,14.7,72
2025-10-05 09:10:00,14.6,72
2025-10-05 09:20:00,14.4,75
2025-10-05 09:30:00,14.6,74
2025-10-05 09:40:00,14.8,75
2025-10-05 09:50:00,14.7,75
2025-10-05 10:00:00,14.7,75
2025-10-05 10:10:00,14.9,75
2025-10-05 10:20:00,15.3,73
2025-10-05 10:30:00,15.7,72
2025-10-05 10:40:00,15.6,72
2025-10-05 10:50:00,15.7,74
2025-10-05 11:00:00,14.9,77
2025-10-05 11:10:00,14.7,75
2025-10-05 11:20:00,15.3,75
2025-10-05 11:30:00,15.7,75
2025-10-05 11:40:00,15.3,73
2025-10-05 11:50:00,15.3,73
2025-10-05 12:00:00,15.1,76
2025-10-05 12:10:00,15.3,73
2025-10-05 12:20:00,16,75
2025-10-05 12:30:00,15.7,75
2025-10-05 12:40:00,15.7,73
2025-10-05 12:50:00,15.7,73
2025-10-05 13:00:00,16,74
2025-10-05 13:10:00,15.8,75
2025-10-05 13:20:00,15.2,75
2025-10-05 13:30:00,15.2,76
2025-10-05 13:40:00,15.5,77
2025-10-05 13:50:00,15.5,77
2025-10-05 14:00:00,15.4,73
2025-10-05 14:10:00,15.5,75
2025-10-05 14:20:00,15.2,75
2025-10-05 14:30:00,15.6,74
2025-10-05 14:40:00,15.2,76
2025-10-05 14:50:00,15,76
